5.399942398E-3,5.043709922E1,1.536453748E1,2.843507996E2,3.293954975E2,NaN,NaN,1.003283998E-2,1.414000000E3,2.765884018E1,-1.000000000E0
5.155301094E-2,5.043714179E1,1.536441258E1,2.843507996E2,3.293953869E2,NaN,NaN,2.393308108E-1,1.414000000E3,2.765884018E1,-1.000000000E0
5.508110523E-1,5.043913256E1,1.536356822E1,2.836147232E2,3.286531466E2,NaN,NaN,2.521472065E-1,4.575200000E1,3.000000000E1,-1.000000000E0
1.917575955E0,5.043906927E1,1.536341697E1,3.048547020E2,3.498933568E2,1.470000029E0,3.445312500E1,2.533739814E-1,2.848778259E1,2.400000000E1,-1.000000000E0
2.249415994E0,5.043907837E1,1.536342678E1,3.049361229E2,3.499747468E2,1.470000029E0,3.445312500E1,2.637742101E-1,2.921594173E1,2.400000000E1,-1.000000000E0
3.255833030E0,5.043909412E1,1.536357153E1,2.909488182E2,3.359873632E2,1.470000029E0,1.792968750E1,2.960404785E-1,2.096650480E1,4.000000000E0,-1.000000000E0
4.254999042E0,5.043911311E1,1.536311690E1,2.920594749E2,3.370980500E2,1.019999981E0,1.792968750E1,2.965213501E-1,1.722732116E1,8.000000000E0,-1.000000000E0
4.819635034E0,5.043911474E1,1.536311061E1,2.906930809E2,3.357316520E2,7.599999905E-1,3.550781250E1,2.986604370E-1,1.225790942E1,4.000000000E0,-1.000000000E0
5.823387980E0,5.043913394E1,1.536311262E1,2.912820702E2,3.363205798E2,7.599999905E-1,2.707031250E1,3.010818464E-1,8.048942830E0,4.000000000E0,-1.000000000E0
6.798725486E0,5.043915477E1,1.536312260E1,2.920103416E2,3.370487830E2,1.370000005E0,1.898437500E1,3.028641257E-1,6.651010692E0,6.000000000E0,-1.000000000E0
7.798372626E0,5.043916897E1,1.536313425E1,2.931654320E2,3.382038259E2,1.509999990E0,2.566406250E1,3.044610000E-1,5.557438962E0,6.000000000E0,-1.000000000E0
8.797995567E0,5.043918155E1,1.536314514E1,2.927068748E2,3.377452266E2,1.370000005E0,2.566406250E1,3.060178732E-1,5.170763245E0,6.000000000E0,-1.000000000E0
9.797612429E0,5.043919408E1,1.536315495E1,2.932970848E2,3.383353947E2,1.509999990E0,2.636718750E1,3.076892435E-1,4.491493489E0,4.000000000E0,-1.000000000E0
